Edition,Gender,Discipline,Medal_Bronze,Medal_Gold,Medal_Silver
1952,Men,Water polo,11,13,9
1952,Men,Weightlifting,7,7,7
1952,Men,Wrestling Free.,8,8,8
1952,Men,Wrestling Gre-R,8,8,8
1952,Women,Artistic G.,21,21,21
1952,Women,Athletics,12,12,12
1952,Women,Canoe / Kayak F,1,1,1
1952,Women,Diving,2,2,2
1952,Women,Dressage,1,0,1
1952,Women,Fencing,1,1,1
1952,Women,Sailing,0,1,1
1952,Women,Swimming,8,8,8
1956,Men,Artistic G.,14,14,14
1956,Men,Athletics,31,30,30
1956,Men,Basketball,12,12,12
1956,Men,Boxing,20,10,10
1956,Men,Canoe / Kayak F,12,12,12
1956,Men,Cycling Road,4,4,4
1956,Men,Cycling Track,8,8,8
1956,Men,Diving,2,2,2
1956,Men,Dressage,3,4,0
1956,Men,Eventing,4,4,4
1956,Men,Fencing,19,21,21
1956,Men,Football,14,18,14
1956,Men,Hockey,11,17,14
1956,Men,Jumping,3,4,4
1956,Men,Modern Pentath.,4,4,4
1956,Men,Rowing,26,26,26
1956,Men,Sailing,11,11,12
1956,Men,Shooting,7,7,7
1956,Men,Swimming,10,10,10
1956,Men,Water polo,10,11,8
1956,Men,Weightlifting,7,7,7
1956,Men,Wrestling Free.,8,8,8
1956,Men,Wrestling Gre-R,8,8,8
1956,Women,Artistic G.,23,18,17
1956,Women,Athletics,11,12,13
1956,Women,Canoe / Kayak F,1,1,1
1956,Women,Diving,2,2,2
1956,Women,Dressage,1,0,6
1956,Women,Eventing,0,0,2
1956,Women,Fencing,1,1,1
1956,Women,Jumping,1,3,0
1956,Women,Swimming,9,9,9
1960,Men,Artistic G.,14,15,11
1960,Men,Athletics,30,30,30
1960,Men,Basketball,12,12,12
1960,Men,Boxing,20,10,10
1960,Men,Canoe / Kayak F,10,10,10
1960,Men,Cycling Road,5,5,5
1960,Men,Cycling Track,8,8,8
1960,Men,Diving,2,2,2
1960,Men,Dressage,1,1,1
1960,Men,Eventing,4,4,4
1960,Men,Fencing,17,20,20
1960,Men,Football,17,16,12
1960,Men,Hockey,14,13,13
1960,Men,Jumping,4,4,4
1960,Men,Modern Pentath.,4,4,4
1960,Men,Rowing,26,26,26
1960,Men,Sailing,11,11,11
1960,Men,Shooting,6,6,6
1960,Men,Swimming,14,14,14
1960,Men,Water polo,12,12,11
1960,Men,Weightlifting,7,7,7
1960,Men,Wrestling Free.,8,8,8
1960,Men,Wrestling Gre-R,8,8,8
1960,Women,Artistic G.,11,11,11
1960,Women,Athletics,12,13,14
1960,Women,Canoe / Kayak F,3,3,3
1960,Women,Diving,2,2,2
1960,Women,Fencing,6,7,6
1960,Women,Swimming,13,13,13
1964,Men,Artistic G.,11,13,16
1964,Men,Athletics,30,30,30
1964,Men,Basketball,12,12,12
1964,Men,Boxing,20,10,10
1964,Men,Canoe / Kayak F,10,10,10
1964,Men,Cycling Road,5,5,5
1964,Men,Cycling Track,9,9,9
1964,Men,Diving,2,2,2
1964,Men,Dressage,4,4,3
1964,Men,Eventing,4,4,4
1964,Men,Fencing,18,18,18
1964,Men,Football,19,14,17
1964,Men,Hockey,14,15,16
1964,Men,Judo,8,4,4
1964,Men,Jumping,4,4,3
1964,Men,Modern Pentath.,4,4,4
1964,Men,Rowing,26,26,26
1964,Men,Sailing,11,11,11
1964,Men,Shooting,6,6,6
1964,Men,Swimming,19,19,19
1964,Men,Volleyball,12,12,12
1964,Men,Water polo,11,12,11
1964,Men,Weightlifting,7,7,7
1964,Men,Wrestling Free.,8,8,8
1964,Men,Wrestling Gre-R,8,8,8
1964,Women,Artistic G.,10,11,12
1964,Women,Athletics,15,15,15
1964,Women,Canoe / Kayak F,3,3,3
1964,Women,Diving,2,2,2
1964,Women,Dressage,0,0,1
1964,Women,Fencing,5,6,6
1964,Women,Jumping,0,0,1
1964,Women,Swimming,14,14,14
1964,Women,Volleyball,12,12,12
1968,Men,Artistic G.,13,14,12
1968,Men,Athletics,30,30,30
1968,Men,Basketball,12,12,12
1968,Men,Boxing,22,11,11
1968,Men,Canoe / Kayak F,10,10,10
1968,Men,Cycling Road,5,5,5
1968,Men,Cycling Track,9,9,9
1968,Men,Diving,2,2,2
1968,Men,Dressage,3,3,3
1968,Men,Eventing,4,4,4
1968,Men,Fencing,18,18,18
1968,Men,Football,16,17,18
1968,Men,Hockey,15,13,14
1968,Men,Jumping,4,4,2
1968,Men,Modern Pentath.,4,4,4
1968,Men,Rowing,26,26,26
1968,Men,Sailing,11,11,11
1968,Men,Shooting,7,7,7
1968,Men,Swimming,24,24,24
1968,Men,Volleyball,12,12,12
1968,Men,Water polo,11,11,11
1968,Men,Weightlifting,7,7,7
1968,Men,Wrestling Free.,8,8,8
1968,Men,Wrestling Gre-R,8,8,8
1968,Women,Artistic G.,11,12,10
1968,Women,Athletics,15,15,15
1968,Women,Canoe / Kayak F,3,3,3
1968,Women,Diving,2,2,2
1968,Women,Dressage,1,1,1
1968,Women,Fencing,6,6,6
1968,Women,Jumping,0,0,2
1968,Women,Swimming,20,20,20
1968,Women,Volleyball,12,12,12
1972,Men,Archery,1,1,1
1972,Men,Artistic G.,13,13,13
1972,Men,Athletics,30,30,30
1972,Men,Basketball,12,12,12
1972,Men,Boxing,22,11,11
1972,Men,Canoe / Kayak F,10,10,10
1972,Men,Canoe / Kayak S,4,4,4
1972,Men,Cycling Road,0,5,5
1972,Men,Cycling Track,9,9,9
1972,Men,Diving,2,2,2
1972,Men,Dressage,1,2,1
1972,Men,Eventing,5,3,5
1972,Men,Fencing,18,18,18
1972,Men,Football,36,17,17
1972,Men,Handball,15,14,16
1972,Men,Hockey,14,18,15
1972,Men,Judo,12,6,5
1972,Men,Jumping,5,5,3
1972,Men,Modern Pentath.,4,4,4
1972,Men,Rowing,26,26,26
1972,Men,Sailing,13,13,13
1972,Men,Shooting,8,8,8
1972,Men,Swimming,24,24,24
1972,Men,Volleyball,12,12,12
1972,Men,Water polo,11,11,11
1972,Men,Weightlifting,9,9,9
1972,Men,Wrestling Free.,10,10,10
1972,Men,Wrestling Gre-R,10,10,10
1972,Women,Archery,1,1,1
1972,Women,Artistic G.,10,11,12
1972,Women,Athletics,20,20,20
1972,Women,Canoe / Kayak F,3,3,3
1972,Women,Canoe / Kayak S,1,1,1
1972,Women,Diving,2,2,2
1972,Women,Dressage,3,2,3
1972,Women,Eventing,0,2,0
1972,Women,Fencing,5,6,6
1972,Women,Jumping,0,0,2
1972,Women,Swimming,20,20,20
1972,Women,Volleyball,11,12,12
1976,Men,Archery,1,1,1
1976,Men,Artistic G.,15,13,13
1976,Men,Athletics,29,29,29
1976,Men,Basketball,12,12,12
1976,Men,Boxing,22,11,11
1976,Men,Canoe / Kayak F,16,16,16
1976,Men,Cycling Road,5,5,5
1976,Men,Cycling Track,7,7,7
1976,Men,Diving,2,2,2
1976,Men,Dressage,1,2,2
1976,Men,Eventing,5,4,5
1976,Men,Fencing,18,18,17
1976,Men,Football,17,17,17
1976,Men,Handball,14,14,14
1976,Men,Hockey,16,16,16
1976,Men,Judo,12,6,6
1976,Men,Jumping,5,5,5
1976,Men,Modern Pentath.,4,4,4
1976,Men,Rowing,30,30,30
1976,Men,Sailing,12,12,12
1976,Men,Shooting,7,7,6
1976,Men,Swimming,19,19,19
1976,Men,Volleyball,12,12,12
1976,Men,Water polo,11,11,11
1976,Men,Weightlifting,9,9,9
1976,Men,Wrestling Free.,10,10,10
1976,Men,Wrestling Gre-R,10,10,10
1976,Women,Archery,1,1,1
1976,Women,Artistic G.,10,11,12
1976,Women,Athletics,20,20,20
1976,Women,Basketball,12,12,12
1976,Women,Canoe / Kayak F,3,3,3
1976,Women,Diving,2,2,2
1976,Women,Dressage,3,2,2
1976,Women,Eventing,0,1,0
1976,Women,Fencing,6,6,6
1976,Women,Handball,14,14,14
1976,Women,Rowing,24,24,24
1976,Women,Shooting,0,0,1
1976,Women,Swimming,19,19,19
1976,Women,Volleyball,12,12,12
1980,Men,Archery,1,1,1
1980,Men,Artistic G.,13,13,13
1980,Men,Athletics,29,30,31
1980,Men,Basketball,12,12,12
1980,Men,Boxing,22,11,11
1980,Men,Canoe / Kayak F,16,16,16
1980,Men,Cycling Road,5,5,5
1980,Men,Cycling Track,7,7,7
1980,Men,Diving,2,2,2
1980,Men,Dressage,6,4,7
1980,Men,Eventing,6,9,4
1980,Men,Fencing,16,18,18
1980,Men,Football,17,17,17
1980,Men,Handball,14,14,14
1980,Men,Hockey,16,16,16
1980,Men,Judo,16,8,8
1980,Men,Jumping,5,9,6
1980,Men,Modern Pentath.,4,4,4
1980,Men,Rowing,30,30,30
1980,Men,Sailing,12,12,12
1980,Men,Shooting,7,7,7
1980,Men,Swimming,19,19,19
1980,Men,Volleyball,12,12,12
1980,Men,Water polo,11,11,11
1980,Men,Weightlifting,10,10,10
1980,Men,Wrestling Free.,10,10,10
1980,Men,Wrestling Gre-R,10,10,10
1980,Women,Archery,1,1,1
1980,Women,Artistic G.,13,12,11
1980,Women,Athletics,20,20,20
1980,Women,Basketball,12,12,12
1980,Women,Canoe / Kayak F,3,3,3
1980,Women,Diving,2,2,2
1980,Women,Dressage,0,2,0
1980,Women,Eventing,1,0,2
1980,Women,Fencing,6,6,6
1980,Women,Handball,14,14,14
1980,Women,Hockey,16,16,16
1980,Women,Jumping,1,0,0
1980,Women,Rowing,24,24,24
1980,Women,Swimming,19,19,19
1980,Women,Volleyball,12,12,12
1984,Men,Archery,1,1,1
1984,Men,Artistic G.,13,15,14
1984,Men,Athletics,31,30,30
1984,Men,Basketball,12,12,12
1984,Men,Boxing,24,12,12
1984,Men,Canoe / Kayak F,16,16,16
1984,Men,Cycling Road,5,5,5
1984,Men,Cycling Track,8,8,8
1984,Men,Diving,2,2,2
1984,Men,Dressage,3,5,1
1984,Men,Eventing,3,4,1
1984,Men,Fencing,18,18,18
1984,Men,Football,17,17,17
1984,Men,Handball,15,14,15
1984,Men,Hockey,16,16,16
1984,Men,Judo,16,8,8
1984,Men,Jumping,4,3,5
1984,Men,Modern Pentath.,4,4,4
1984,Men,Rowing,30,30,30
1984,Men,Sailing,13,13,13
1984,Men,Shooting,8,8,8
1984,Men,Swimming,24,24,24
1984,Men,Volleyball,12,12,12
1984,Men,Water polo,13,13,13
1984,Men,Weightlifting,10,10,10
1984,Men,Wrestling Free.,10,10,10
1984,Men,Wrestling Gre-R,10,10,10
1984,Women,Archery,1,1,1
1984,Women,Artistic G.,11,13,9
1984,Women,Athletics,24,23,23
1984,Women,Basketball,12,12,12
1984,Women,Canoe / Kayak F,7,7,7
1984,Women,Cycling Road,1,1,1
1984,Women,Diving,2,2,2
1984,Women,Dressage,3,0,5
1984,Women,Eventing,2,1,4
1984,Women,Fencing,6,6,6
1984,Women,Handball,13,15,13
1984,Women,Hockey,16,16,16
1984,Women,Jumping,1,2,0
1984,Women,Rhythmic G.,1,1,1
1984,Women,Rowing,24,24,24
1984,Women,Shooting,3,3,3
1984,Women,Swimming,20,21,19
1984,Women,Synchronized S.,3,3,3
1984,Women,Volleyball,12,12,12
1988,Men,Archery,4,4,4
1988,Men,Artistic G.,14,17,10
1988,Men,Athletics,31,30,30
1988,Men,Basketball,12,12,12
1988,Men,Boxing,24,12,12
1988,Men,Canoe / Kayak F,16,16,16
1988,Men,Cycling Road,5,5,5
1988,Men,Cycling Track,8,8,8
1988,Men,Diving,2,2,2
1988,Men,Dressage,1,1,3
1988,Men,Eventing,2,5,3
1988,Men,Fencing,18,18,18
1988,Men,Football,20,20,21
1988,Men,Handball,15,14,13
1988,Men,Hockey,16,16,16
1988,Men,Judo,14,7,7
1988,Men,Jumping,5,5,3
1988,Men,Modern Pentath.,4,4,4
1988,Men,Rowing,30,30,30
1988,Men,Sailing,13,13,13
1988,Men,Shooting,9,9,9
1988,Men,Swimming,25,25,25
1988,Men,Table Tennis,3,3,3
1988,Men,Tennis,6,3,3
1988,Men,Volleyball,12,12,12
1988,Men,Water polo,13,13,13
1988,Men,Weightlifting,10,10,10
1988,Men,Wrestling Free.,10,10,10
1988,Men,Wrestling Gre-R,10,10,10
1988,Women,Archery,4,4,4
1988,Women,Artistic G.,12,11,11
1988,Women,Athletics,24,24,24
1988,Women,Basketball,12,12,12
1988,Women,Canoe / Kayak F,7,7,7
1988,Women,Cycling Road,1,1,1
1988,Women,Cycling Track,1,1,1
1988,Women,Diving,2,2,2
1988,Women,Dressage,4,4,2
1988,Women,Eventing,3,0,2
1988,Women,Fencing,6,6,6
1988,Women,Handball,15,12,15
1988,Women,Hockey,16,16,16
1988,Women,Jumping,0,0,2
1988,Women,Rhythmic G.,1,1,1
1988,Women,Rowing,23,23,23
1988,Women,Sailing,2,2,2
1988,Women,Shooting,4,4,4
1988,Women,Swimming,22,21,24
1988,Women,Synchronized S.,3,3,3
1988,Women,Table Tennis,3,3,3
1988,Women,Tennis,6,3,3
1988,Women,Volleyball,12,12,12
1992,Men,Archery,4,4,4
1992,Men,Artistic G.,14,14,14
1992,Men,Athletics,34,33,31
1992,Men,Badminton,6,3,3
1992,Men,Baseball,20,20,20
1992,Men,Basketball,12,12,12
1992,Men,Boxing,24,12,12
1992,Men,Canoe / Kayak F,16,16,16
1992,Men,Canoe / Kayak S,4,4,4
1992,Men,Cycling Road,5,5,5
1992,Men,Cycling Track,9,9,8
1992,Men,Diving,2,2,2
1992,Men,Dressage,3,1,0
1992,Men,Eventing,5,4,4
1992,Men,Fencing,18,18,18
1992,Men,Football,13,12,12
1992,Men,Handball,16,12,16
1992,Men,Hockey,16,16,16
1992,Men,Judo,14,7,7
1992,Men,Jumping,5,5,5
1992,Men,Modern Pentath.,4,4,4
1992,Men,Rowing,30,30,30
1992,Men,Sailing,13,13,13
1992,Men,Shooting,9,8,9
1992,Men,Swimming,30,33,30
1992,Men,Table Tennis,6,3,3
1992,Men,Tennis,6,3,3
1992,Men,Volleyball,12,12,12
1992,Men,Water polo,12,13,13
1992,Men,Weightlifting,9,10,10
1992,Men,Wrestling Free.,10,10,10
1992,Men,Wrestling Gre-R,10,10,10
1992,Women,Archery,4,4,4
1992,Women,Artistic G.,12,12,11
1992,Women,Athletics,25,28,27
1992,Women,Badminton,6,3,3
1992,Women,Basketball,12,12,12
1992,Women,Canoe / Kayak F,7,7,7
1992,Women,Canoe / Kayak S,1,1,1
1992,Women,Cycling Road,1,1,1
1992,Women,Cycling Track,2,2,2
1992,Women,Diving,2,2,2
1992,Women,Dressage,2,4,5
1992,Women,Eventing,0,1,1
1992,Women,Fencing,6,6,6
1992,Women,Handball,13,13,14
1992,Women,Hockey,16,16,16
1992,Women,Judo,14,7,7
1992,Women,Rhythmic G.,1,1,1
1992,Women,Rowing,22,22,22
1992,Women,Sailing,4,4,4
1992,Women,Shooting,4,5,4
1992,Women,Swimming,24,27,25
1992,Women,Synchronized S.,3,4,2
1992,Women,Table Tennis,6,3,3
1992,Women,Tennis,6,3,3
1992,Women,Volleyball,12,12,12
1996,Men,Archery,4,4,4
1996,Men,Artistic G.,15,14,15
1996,Men,Athletics,32,32,33
1996,Men,Badminton,4,4,4
1996,Men,Baseball,20,20,20
1996,Men,Basketball,12,12,12
1996,Men,Beach volley.,2,2,2
1996,Men,Boxing,24,12,12
1996,Men,Canoe / Kayak F,16,16,16
1996,Men,Canoe / Kayak S,4,4,4
1996,Men,Cycling Road,2,2,2
1996,Men,Cycling Track,9,8,8
1996,Men,Diving,2,2,2
1996,Men,Dressage,3,2,1
1996,Men,Eventing,3,3,2
1996,Men,Fencing,12,12,12
1996,Men,Football,18,18,18
1996,Men,Handball,16,16,16
1996,Men,Hockey,16,16,16
1996,Men,Judo,14,7,7
1996,Men,Jumping,4,5,3
1996,Men,Modern Pentath.,1,1,1
1996,Men,Mountain Bike,1,1,1
1996,Men,Rowing,28,28,28
1996,Men,Sailing,12,12,12
1996,Men,Shooting,10,10,10
1996,Men,Swimming,29,32,30
1996,Men,Table Tennis,3,3,3
1996,Men,Tennis,3,3,3
1996,Men,Volleyball,12,12,12
1996,Men,Water polo,13,13,13
1996,Men,Weightlifting,10,10,10
1996,Men,Wrestling Free.,10,10,10
1996,Men,Wrestling Gre-R,10,10,10
1996,Women,Archery,4,4,4
1996,Women,Artistic G.,11,12,13
1996,Women,Athletics,28,28,27
1996,Women,Badminton,4,4,4
1996,Women,Basketball,12,12,12
1996,Women,Beach volley.,2,2,2
1996,Women,Canoe / Kayak F,7,7,7
1996,Women,Canoe / Kayak S,1,1,1
1996,Women,Cycling Road,2,2,2
1996,Women,Cycling Track,3,3,3
1996,Women,Diving,2,2,2
1996,Women,Dressage,2,3,4
1996,Women,Eventing,2,2,3
1996,Women,Fencing,8,8,8
1996,Women,Football,18,16,16
1996,Women,Handball,16,16,16
1996,Women,Hockey,16,16,16
1996,Women,Judo,14,7,7
1996,Women,Jumping,1,0,2
1996,Women,Mountain Bike,1,1,1
1996,Women,Rhythmic G.,7,7,7
1996,Women,Rowing,20,20,20
1996,Women,Sailing,4,4,4
1996,Women,Shooting,5,5,5
1996,Women,Softball,15,15,15
1996,Women,Swimming,27,34,29
1996,Women,Synchronized S.,10,10,10
1996,Women,Table Tennis,3,3,3
1996,Women,Tennis,3,3,3
1996,Women,Volleyball,12,12,12
2000,Men,Archery,4,4,4
2000,Men,Artistic G.,13,13,13
2000,Men,Athletics,33,28,33
2000,Men,Badminton,4,4,4
2000,Men,Baseball,24,24,24
2000,Men,Basketball,12,12,12
